timestamp,lat,lon,locationName,temperature,atpressure,cloudiness,rain,windspeed,Relationship,job,social,tiredness,Refresh,dow,date,Hour,day slot,Province,District, Previous 1 days, Previous 3 days, Previous 6 days, Previous 10 days,TARGET
5/12/21 0:36,38.9240056,1.4557035,"Carrer de la Torre de Can Negre, 26, 07819 Santa Eulalia del Río, Islas Baleares, España",17.42,1020,0,,7,5,N/A,2,3,3,4,5/12/2021,12:36 AM,Morning,07,819,  4.40 ,  4.40 ,  4.40 ,  4.40 ,5
5/12/21 11:42,38.9166013,1.4209726,"Avenida de la Paz, 2000, 07800, Illes Balears, España",20.35,1017,0,,7.2,3,N/A,3,3,3,4,5/12/2021,11:42 AM,Morning,07,800,  4.40 ,  4.40 ,  4.40 ,  4.40 ,4
5/12/21 14:47,38.9226127,1.4611746,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",21.33,1016,0,,6.17,4,N/A,2,3,3,4,5/12/2021,2:47 PM,Afternoon,07,819,  4.40 ,  4.40 ,  4.40 ,  4.40 ,4
5/12/21 17:48,38.9226094,1.461175,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",19.8,1014,20,,5.36,4,N/A,3,3,3,4,5/12/2021,5:48 PM,Night,07,819,  4.40 ,  4.40 ,  4.40 ,  4.40 ,5
5/12/21 20:54,38.9226061,1.4611757,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",18.06,1014,20,,4.47,5,N/A,3,2,4,4,5/12/2021,8:54 PM,Night,07,819,  4.40 ,  4.40 ,  4.40 ,  4.40 ,4
5/13/21 6:46,38.9226071,1.4611764,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",16.97,1015,0,,3.58,4,N/A,3,2,4,5,5/13/2021,6:46 AM,Morning,07,819,  4.40 ,  4.40 ,  4.00 ,  4.00 ,3
5/13/21 8:43,38.9226072,1.4611738,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",16.97,1016,0,,5.36,3,N/A,3,2,4,5,5/13/2021,8:43 AM,Morning,07,819,  4.40 ,  4.40 ,  4.00 ,  4.00 ,3
5/13/21 10:59,38.9226072,1.4611738,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",19.87,1016,100,,2.68,3,N/A,3,2,4,5,5/13/2021,10:59 AM,Morning,07,819,  4.40 ,  4.40 ,  4.00 ,  4.00 ,3
5/13/21 13:25,38.9226072,1.4611738,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",19.66,1015,20,,2.68,3,N/A,3,3,3,5,5/13/2021,1:25 PM,Afternoon,07,819,  4.40 ,  4.40 ,  4.00 ,  4.00 ,4
5/13/21 14:49,38.9226048,1.461174,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",21.46,1015,20,,4.12,2,N/A,3,2,4,5,5/13/2021,2:49 PM,Afternoon,07,819,  4.40 ,  4.40 ,  4.00 ,  4.00 ,2
5/13/21 20:02,40.5202362,-3.599147,"Poligono Sus, 56, 28109, Madrid, España",18.91,1013,40,,6.39,3,N/A,2,3,3,5,5/13/2021,8:02 PM,Night,28,109,  4.40 ,  4.40 ,  4.00 ,  4.00 ,4
5/13/21 22:23,40.4235652,-3.7002565,"Calle de Hernán Cortés, 5, 28004 Madrid, España",15.05,1014,20,,7.2,3,N/A,2,4,2,5,5/13/2021,10:23 PM,Night,28,004,  4.40 ,  4.40 ,  4.00 ,  4.00 ,4
5/14/21 1:43,40.4789559,-3.8587593,"Calle de la Brisa, 3, 28221 Majadahonda, Madrid, España",13.68,1016,0,,4.63,4,N/A,2,3,3,6,5/14/2021,1:43 AM,Morning,28,221,  3.29 ,  3.75 ,  3.67 ,  3.67 ,4
5/14/21 8:15,40.4789526,-3.8587725,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",12.03,1017,20,,6.69,4,N/A,3,3,3,6,5/14/2021,8:15 AM,Morning,28,221,  3.29 ,  3.75 ,  3.67 ,  3.67 ,4
5/14/21 10:27,40.478937,-3.8588612,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",14.65,1018,20,,6.17,5,N/A,3,3,3,6,5/14/2021,10:27 AM,Morning,28,221,  3.29 ,  3.75 ,  3.67 ,  3.67 ,4
5/14/21 12:38,40.47896,-3.8587429,"Calle de la Brisa, 3, 28221 Majadahonda, Madrid, España",16.67,1015,68,,1.79,5,N/A,3,3,3,6,5/14/2021,12:38 PM,Afternoon,28,221,  3.29 ,  3.75 ,  3.67 ,  3.67 ,4
5/16/21 10:11,40.4207005,-3.6922774,"Paseo de Recoletos, 4, 28001 Madrid, España",17.59,1016,0,,4.63,2,N/A,2,4,2,1,5/16/2021,10:11 AM,Morning,28,001,#DIV/0!,  3.55 ,  3.63 ,  3.63 ,2
5/16/21 13:23,40.4179634,-3.6783286,"Av. de Menéndez Pelayo, 37, 28009 Madrid, España",23.71,1016,0,,4.12,1,N/A,2,3,3,1,5/16/2021,1:23 PM,Afternoon,28,009,#DIV/0!,  3.55 ,  3.63 ,  3.63 ,2
5/17/21 8:39,40.4806836,-3.8609173,"Calle de Navaluenga, 16, 28231 Las Rozas de Madrid, Madrid, España",14.13,1018,0,,2.57,1,N/A,3,4,2,2,5/17/2021,8:39 AM,Morning,28,231,  2.00 ,  3.33 ,  3.44 ,  3.44 ,2
5/17/21 11:23,40.4794022,-3.8612355,"Calle Alisios, 16, 28221 Majadahonda, Madrid, España",17.74,1020,0,,0.51,2,2,3,3,3,2,5/17/2021,11:23 AM,Morning,28,221,  2.00 ,  3.33 ,  3.44 ,  3.44 ,3
5/17/21 15:09,40.4791164,-3.8602811,"Calle Alisios, 34, 28221 Majadahonda, Madrid, España",23.33,1019,0,,2.06,3,2,3,4,2,2,5/17/2021,3:09 PM,Afternoon,28,221,  2.00 ,  3.33 ,  3.44 ,  3.44 ,3
5/17/21 18:37,40.4791164,-3.8602811,"Calle Alisios, 34, 28221 Majadahonda, Madrid, España",25.36,1018,0,,4.12,3,N/A,3,4,2,2,5/17/2021,6:37 PM,Night,28,221,  2.00 ,  3.33 ,  3.44 ,  3.44 ,3
5/17/21 22:05,40.4728365,-3.8580544,"Calle Sauces, 4D, 28221 Majadahonda, Madrid, España",20.99,1018,0,,2.57,3,N/A,3,2,4,2,5/17/2021,10:05 PM,Night,28,221,  2.00 ,  3.33 ,  3.44 ,  3.44 ,3
5/18/21 0:26,40.4762995,-3.8590087,"Calle Fábrica, 7, 28221 Majadahonda, Madrid, España",18.57,1019,0,,2.06,2,N/A,3,4,2,3,5/18/2021,12:26 AM,Morning,28,221,  2.80 ,  2.57 ,  3.35 ,  3.35 ,3
5/18/21 10:30,40.478931,-3.858853,"Calle Fábrica, 7, 28221 Majadahonda, Madrid, España",18.38,1020,0,,1.03,3,3,3,3,3,3,5/18/2021,10:30 AM,Morning,28,221,  2.80 ,  2.57 ,  3.35 ,  3.35 ,3
5/18/21 13:47,40.478931,-3.8588649,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",24.13,1015,0,,3.98,3,3,3,4,2,3,5/18/2021,1:47 PM,Afternoon,28,221,  2.80 ,  2.57 ,  3.35 ,  3.35 ,3
5/18/21 16:11,40.4789297,-3.8588564,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",25.21,1014,0,,3.18,3,3,3,2,4,3,5/18/2021,4:11 PM,Night,28,221,  2.80 ,  2.57 ,  3.35 ,  3.35 ,3
5/18/21 16:17,40.4789297,-3.8588564,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",25.35,1014,0,,3.18,3,3,3,2,4,3,5/18/2021,4:17 PM,Night,28,221,  2.80 ,  2.57 ,  3.35 ,  3.35 ,3
5/18/21 18:20,40.4920144,-3.6965648,"Calle Sabadell, 104, 28034 Madrid, España",25.74,999,20,,1.34,2,N/A,2,4,2,3,5/18/2021,6:20 PM,Night,28,034,  2.80 ,  2.57 ,  3.35 ,  3.35 ,2
5/18/21 20:40,40.4920797,-3.6966243,"Calle Sabadell, 104, 28034 Madrid, España",23.72,1020,20,,1.79,3,N/A,3,4,2,3,5/18/2021,8:40 PM,Night,28,034,  2.80 ,  2.57 ,  3.35 ,  3.35 ,3
5/19/21 0:41,40.4920418,-3.6965984,"Calle Sabadell, 104, 28034 Madrid, España",18.35,1022,20,,0.45,2,N/A,3,4,2,4,5/19/2021,12:41 AM,Morning,28,034,  2.86 ,  2.71 ,  3.08 ,  3.08 ,3
5/19/21 10:05,40.4919964,-3.6966292,"Calle Sabadell, 102, 28034 Madrid, España",15.36,1024,0,,0.45,2,3,3,3,3,4,5/19/2021,10:05 AM,Morning,28,034,  2.86 ,  2.71 ,  3.08 ,  3.08 ,2
5/19/21 12:15,40.4920634,-3.6966115,"Calle Sabadell, 104, 28034 Madrid, España",18.3,1024,0,,3.58,1,2,3,3,3,4,5/19/2021,12:15 PM,Afternoon,28,034,  2.86 ,  2.71 ,  3.08 ,  3.08 ,2
5/19/21 15:05,40.4920734,-3.6966187,"Calle Sabadell, 104, 28034 Madrid, España",21.88,1022,0,,1.79,1,2,3,3,3,4,5/19/2021,3:05 PM,Afternoon,28,034,  2.86 ,  2.71 ,  3.08 ,  3.08 ,2
5/19/21 17:17,40.4920507,-3.696608,"Calle Sabadell, 104, 28034 Madrid, España",23.67,1023,0,,1.34,1,2,3,3,3,4,5/19/2021,5:17 PM,Night,28,034,  2.86 ,  2.71 ,  3.08 ,  3.08 ,2
5/19/21 19:35,40.4895637,-3.6957652,"Av del Cardenal Herrera Oria, 65, 28034 Madrid, España",24.45,997,0,,0.45,1,2,3,3,3,4,5/19/2021,7:35 PM,Night,28,034,  2.86 ,  2.71 ,  3.08 ,  3.08 ,3
5/19/21 21:52,40.4416149,-3.654868,"Av. de Badajoz, 26, 28027 Madrid, España",20.65,1022,0,,3.58,2,N/A,3,3,3,4,5/19/2021,9:52 PM,Night,28,027,  2.86 ,  2.71 ,  3.08 ,  3.08 ,4
5/20/21 7:28,40.4920086,-3.6965659,"Calle Sabadell, 104, 28034 Madrid, España",11.58,1006,0,,2.68,1,N/A,2,4,2,5,5/20/2021,7:28 AM,Morning,28,034,  2.57 ,  2.74 ,  2.80 ,  2.80 ,2
5/20/21 9:37,40.4920702,-3.6965992,"Calle Sabadell, 104, 28034 Madrid, España",15.52,1025,0,,1.79,1,2,2,3,3,5,5/20/2021,9:37 AM,Morning,28,034,  2.57 ,  2.74 ,  2.80 ,  2.80 ,3
5/20/21 12:01,40.4920227,-3.6965712,"Calle Sabadell, 104, 28034 Madrid, España",19.75,1024,0,,0.89,1,3,3,3,3,5,5/20/2021,12:01 PM,Afternoon,28,034,  2.57 ,  2.74 ,  2.80 ,  2.80 ,4
5/20/21 14:09,40.4920873,-3.6966401,"Calle Sabadell, 104, 28034 Madrid, España",22.86,1024,0,,0.45,2,N/A,3,3,3,5,5/20/2021,2:09 PM,Afternoon,28,034,  2.57 ,  2.74 ,  2.80 ,  2.80 ,4
5/20/21 16:33,40.4921018,-3.6966524,"Calle Sabadell, 104, 28034 Madrid, España",25.98,1020,0,,0.89,2,3,3,4,2,5,5/20/2021,4:33 PM,Night,28,034,  2.57 ,  2.74 ,  2.80 ,  2.80 ,3
5/20/21 18:42,40.4598118,-3.7059445,"C. Luis Missón, 11, 28039 Madrid, España",27.32,1020,0,,0.89,2,N/A,4,2,4,5,5/20/2021,6:42 PM,Night,28,039,  2.57 ,  2.74 ,  2.80 ,  2.80 ,4
5/20/21 21:31,40.411638,-3.7105677,"Plaza de Puerta de Moros, 8, 28005 Madrid, España",26.01,1019,0,,1.34,2,N/A,4,2,4,5,5/20/2021,9:31 PM,Night,28,005,  2.57 ,  2.74 ,  2.80 ,  2.80 ,4
5/21/21 0:16,40.4123773,-3.7092406,"Calle de la Cava Baja, 23, 28005 Madrid, España",21.45,1020,0,,1.34,2,N/A,4,3,3,6,5/21/2021,12:16 AM,Morning,28,005,  3.43 ,  2.95 ,  2.93 ,  2.93 ,4
5/21/21 4:34,40.4920372,-3.6965794,"Calle Sabadell, 104, 28034 Madrid, España",21.45,1020,0,,1.34,2,N/A,4,4,2,6,5/21/2021,4:34 AM,Morning,28,034,  3.43 ,  2.95 ,  2.93 ,  2.93 ,3
5/21/21 10:13,40.4920655,-3.6966079,"Calle Sabadell, 104, 28034 Madrid, España",19.2,1017,0,,0.89,1,3,3,5,1,6,5/21/2021,10:13 AM,Morning,28,034,  3.43 ,  2.95 ,  2.93 ,  2.93 ,2
5/21/21 13:31,40.4920576,-3.6966093,"Calle Sabadell, 104, 28034 Madrid, España",25.56,1015,0,,3.58,1,2,3,5,1,6,5/21/2021,1:31 PM,Afternoon,28,034,  3.43 ,  2.95 ,  2.93 ,  2.93 ,1
5/21/21 16:37,40.4920267,-3.696571,"Calle Sabadell, 104, 28034 Madrid, España",27.3,1013,0,,1.34,2,N/A,3,3,3,6,5/21/2021,4:37 PM,Night,28,034,  3.43 ,  2.95 ,  2.93 ,  2.93 ,2
5/21/21 18:40,40.4789801,-3.8587768,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",26.19,1009,0,,1.34,2,N/A,3,3,3,6,5/21/2021,6:40 PM,Night,28,221,  3.43 ,  2.95 ,  2.93 ,  2.93 ,3
5/21/21 20:47,40.425739,-3.7038736,"Calle de San Vicente Ferrer, 30, 28004 Madrid, España",24.45,1000,0,,4.02,3,N/A,3,3,3,6,5/21/2021,8:47 PM,Night,28,004,  3.43 ,  2.95 ,  2.93 ,  2.93 ,3
5/21/21 23:12,40.4228756,-3.7033074,"Corredera Baja de San Pablo, 37, 28004 Madrid, España",20.8,1015,0,,3.58,2,N/A,3,4,2,6,5/21/2021,11:12 PM,Night,28,004,  3.43 ,  2.95 ,  2.93 ,  2.93 ,3
5/22/21 1:22,40.4268666,-3.7033254,"Calle de Velarde, 22, 28004 Madrid, España",18.47,1015,0,,2.68,2,N/A,3,4,2,7,5/22/2021,1:22 AM,Morning,28,004,  2.63 ,  2.86 ,  2.83 ,  2.83 ,3
5/22/21 6:57,40.426881,-3.7033346,"Calle de Velarde, 22, 28004 Madrid, España",18.47,1015,0,,2.68,2,N/A,3,4,2,7,5/22/2021,6:57 AM,Morning,28,004,  2.63 ,  2.86 ,  2.83 ,  2.83 ,2
5/22/21 13:25,40.4269218,-3.7032895,"Calle de Velarde, 22, 28004 Madrid, España",19.53,1016,0,,5.81,3,N/A,3,3,3,7,5/22/2021,1:25 PM,Afternoon,28,004,  2.63 ,  2.86 ,  2.83 ,  2.83 ,3
5/22/21 19:45,40.4269015,-3.7033019,"Calle de Velarde, 22, 28004 Madrid, España",18.48,1001,0,,4.92,3,N/A,3,2,4,7,5/22/2021,7:45 PM,Night,28,004,  2.63 ,  2.86 ,  2.83 ,  2.83 ,4
5/22/21 22:06,40.4257293,-3.7037257,"Calle de San Vicente Ferrer, 29, 28004 Madrid, España",16.62,1016,0,,2.68,2,N/A,4,4,2,7,5/22/2021,10:06 PM,Night,28,004,  2.63 ,  2.86 ,  2.83 ,  2.83 ,3
5/23/21 18:37,40.4789286,-3.8588597,"Calle de San Vicente Ferrer, 29, 28004 Madrid, España",16.33,1014,40,,0.89,3,N/A,3,3,3,1,5/23/2021,6:37 PM,Night,28,004,  3.00 ,  3.00 ,  2.90 ,  2.90 ,3
5/24/21 3:36,40.4789292,-3.8588672,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",10.46,1017,0,,3.61,4,N/A,3,2,4,2,5/24/2021,3:36 AM,Morning,28,221,  3.00 ,  2.79 ,  2.91 ,  2.91 ,4
5/24/21 11:14,40.4920369,-3.6965941,"Calle Sabadell, 104, 28034 Madrid, España",15.75,1022,0,,0.89,4,3,3,1,5,2,5/24/2021,11:14 AM,Morning,28,034,  3.00 ,  2.79 ,  2.91 ,  2.91 ,4
5/24/21 14:29,40.4920717,-3.6966003,"Calle Sabadell, 104, 28034 Madrid, España",18.4,1022,75,,2.68,3,4,3,1,5,2,5/24/2021,2:29 PM,Afternoon,28,034,  3.00 ,  2.79 ,  2.91 ,  2.91 ,4
5/24/21 16:35,40.4920436,-3.6965952,"Calle Sabadell, 104, 28034 Madrid, España",19.82,1022,75,,2.68,3,3,3,2,4,2,5/24/2021,4:35 PM,Night,28,034,  3.00 ,  2.79 ,  2.91 ,  2.91 ,4
5/24/21 18:48,40.492086,-3.6966275,"Calle Sabadell, 104, 28034 Madrid, España",20.31,1020,75,,0.89,3,3,3,4,2,2,5/24/2021,6:48 PM,Night,28,034,  3.00 ,  2.79 ,  2.91 ,  2.91 ,3
5/24/21 20:57,40.5078641,-3.696492,"Av del Santuario de Valverde, 72, 28034 Madrid, España",19.95,1021,40,,0.45,3,N/A,2,4,2,2,5/24/2021,8:57 PM,Night,28,034,  3.00 ,  2.79 ,  2.91 ,  2.91 ,3
5/25/21 9:29,40.4920189,-3.6966014,"Calle Sabadell, 104, 28034 Madrid, España",12.43,1007,75,,2.68,3,3,3,1,5,3,5/25/2021,9:29 AM,Morning,28,034,  3.67 ,  3.33 ,  3.06 ,  3.06 ,4
5/25/21 11:36,40.4919903,-3.6965419,"Calle Sabadell, 102, 28034 Madrid, España",17.36,1001,20,,1.79,3,3,3,1,5,3,5/25/2021,11:36 AM,Morning,28,034,  3.67 ,  3.33 ,  3.06 ,  3.06 ,4
5/25/21 18:36,40.4919827,-3.6965298,"Calle Sabadell, 102, 28034 Madrid, España",24.7,1019,20,,0.45,3,3,3,1,5,3,5/25/2021,6:36 PM,Night,28,034,  3.67 ,  3.33 ,  3.06 ,  3.06 ,4
5/26/21 11:03,40.4920498,-3.6966036,"Calle Sabadell, 104, 28034 Madrid, España",17.39,1022,20,,2.24,2,3,3,4,2,4,5/26/2021,11:03 AM,Morning,28,034,  4.00 ,  3.70 ,  3.27 ,  3.27 ,3
5/26/21 13:25,40.4919801,-3.6965357,"Calle Sabadell, 102, 28034 Madrid, España",21.03,1019,20,,1.34,2,3,3,3,3,4,5/26/2021,1:25 PM,Afternoon,28,034,  4.00 ,  3.70 ,  3.27 ,  3.27 ,3
5/26/21 16:15,40.4920803,-3.6966268,"Calle Sabadell, 104, 28034 Madrid, España",24.99,1016,20,,2.68,4,3,3,2,4,4,5/26/2021,4:15 PM,Night,28,034,  4.00 ,  3.70 ,  3.27 ,  3.27 ,4
5/26/21 18:11,40.4920458,-3.6965923,"Calle Sabadell, 104, 28034 Madrid, España",25.78,993,40,,3.58,4,3,3,2,4,4,5/26/2021,6:11 PM,Night,28,034,  4.00 ,  3.70 ,  3.27 ,  3.27 ,4
5/26/21 20:07,40.4415741,-3.6548259,"Av. de Badajoz, 26, 28027 Madrid, España",25.58,1016,40,,1.34,4,N/A,3,2,4,4,5/26/2021,8:07 PM,Night,28,027,  4.00 ,  3.70 ,  3.27 ,  3.27 ,4
5/26/21 22:22,40.4712416,-3.8507796,"Norias-parque, 28221 Majadahonda, Madrid, España",22.61,1012,0,,1.36,3,N/A,3,2,4,4,5/26/2021,10:22 PM,Night,28,221,  4.00 ,  3.70 ,  3.27 ,  3.27 ,3
5/27/21 0:37,40.4789355,-3.8588368,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",19.04,1014,0,,2.44,5,N/A,3,3,3,5,5/27/2021,12:37 AM,Morning,28,221,  3.50 ,  3.67 ,  3.28 ,  3.28 ,5
5/27/21 5:39,40.4789307,-3.8588672,"Calle Prof. Carlos Toleda, 3, 28221 Majadahonda, Madrid, España",14.54,1013,0,,2.36,4,N/A,3,3,3,5,5/27/2021,5:39 AM,Morning,28,221,  3.50 ,  3.67 ,  3.28 ,  3.28 ,4
5/27/21 16:21,38.9226725,1.461135,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",20.51,1016,20,,4.02,4,3,3,3,3,5,5/27/2021,4:21 PM,Night,07,819,  3.50 ,  3.67 ,  3.28 ,  3.28 ,4
5/27/21 18:06,38.9226025,1.4611734,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",20.51,1015,0,,2.68,4,3,3,4,2,5,5/27/2021,6:06 PM,Night,07,819,  3.50 ,  3.67 ,  3.28 ,  3.28 ,4
5/27/21 20:08,38.9075023,1.4244328,"Carrer de Balears, 3, 07800 Eivissa, Illes Balears, España",19.98,1015,0,,3.13,4,N/A,3,4,2,5,5/27/2021,8:08 PM,Night,07,800,  3.50 ,  3.67 ,  3.28 ,  3.28 ,4
5/27/21 22:44,38.9226125,1.4611747,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",18.56,1017,20,,1.34,4,N/A,3,4,2,5,5/27/2021,10:44 PM,Night,07,819,  3.50 ,  3.67 ,  3.28 ,  3.28 ,3
5/28/21 9:36,38.9226074,1.4611755,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",19.2,1016,20,,2.24,4,N/A,4,2,4,6,5/28/2021,9:36 AM,Morning,07,819,  4.00 ,  3.80 ,  3.63 ,  3.63 ,4
5/28/21 12:06,38.9226049,1.4611755,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",20.51,1017,20,,4.02,4,3,4,2,4,6,5/28/2021,12:06 PM,Afternoon,07,819,  4.00 ,  3.80 ,  3.63 ,  3.63 ,4
5/28/21 13:55,38.9227029,1.4611229,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",20.43,1016,40,,4.02,4,3,3,3,3,6,5/28/2021,1:55 PM,Afternoon,07,819,  4.00 ,  3.80 ,  3.63 ,  3.63 ,3
5/28/21 17:40,38.9226064,1.4611752,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",20.72,1016,20,,3.13,4,N/A,3,4,2,6,5/28/2021,5:40 PM,Night,07,819,  4.00 ,  3.80 ,  3.63 ,  3.63 ,4
5/28/21 20:16,38.8977559,1.3010457,"Diseminado Can Cavat, 1053T, 07830, Illes Balears, España",19.41,1016,20,,2.57,3,N/A,4,2,4,6,5/28/2021,8:16 PM,Night,07,830,  4.00 ,  3.80 ,  3.63 ,  3.63 ,4
5/28/21 22:45,38.9106655,1.4255145,"Carrer de Canàries, 28, 07800 Eivissa, Illes Balears, España",18.69,1018,0,,0.89,3,N/A,3,3,3,6,5/28/2021,10:45 PM,Night,07,800,  4.00 ,  3.80 ,  3.63 ,  3.63 ,4
5/29/21 17:06,38.9226073,1.4611702,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",22.46,1018,0,,2.24,2,N/A,3,3,3,7,5/29/2021,5:06 PM,Night,07,819,  3.83 ,  3.78 ,  3.75 ,  3.75 ,3
5/29/21 20:01,38.9858459,1.5351133,"Carrer de Sant Vicent, 55, 07840 Santa Eulària des Riu, Illes Balears, España",21.58,1018,0,,2.76,4,N/A,3,3,3,7,5/29/2021,8:01 PM,Night,07,840,  3.83 ,  3.78 ,  3.75 ,  3.75 ,4
5/29/21 21:55,38.9855684,1.5346693,"Carrer de Sant Vicent, 45, 07840 Santa Eulària des Riu, Illes Balears, España",20.93,1019,0,,2.38,4,N/A,3,2,4,7,5/29/2021,9:55 PM,Night,07,840,  3.83 ,  3.78 ,  3.75 ,  3.75 ,4
5/30/21 11:58,38.9226279,1.4611604,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",22.9,1018,0,,1.79,4,N/A,3,1,5,1,5/30/2021,11:58 AM,Morning,07,819,  3.67 ,  3.87 ,  3.77 ,  3.77 ,4
5/30/21 13:51,38.922635,1.4612065,"Carrer del Nyandú, 43, 07819 Santa Eulària des Riu, Illes Balears, España",22.88,1018,0,,2.68,4,N/A,3,2,4,1,5/30/2021,1:51 PM,Afternoon,07,819,  3.67 ,  3.87 ,  3.77 ,  3.77 ,4
